,价格区间,商品数量
0,"(-0.001, 400.004]",1109481
1,"(400.004, 800.008]",55853
2,"(800.008, 1200.012]",54892
3,"(1200.012, 1600.016]",47959
4,"(1600.016, 2000.02]",41642
5,"(2000.02, 2400.024]",24364
6,"(2400.024, 2800.028]",22645
7,"(2800.028, 3200.032]",19205
8,"(3200.032, 3600.036]",14275
9,"(3600.036, 4000.04]",13487
10,"(4000.04, 4400.044]",6504
11,"(4400.044, 4800.048]",5828
12,"(4800.048, 5200.052]",6248
13,"(5200.052, 5600.056]",4480
14,"(5600.056, 6000.06]",4815
15,"(6000.06, 6400.064]",2360
16,"(6400.064, 6800.068]",2785
17,"(6800.068, 7200.072]",3239
18,"(7200.072, 7600.076]",2096
19,"(7600.076, 8000.08]",2773
20,"(8000.08, 8400.084]",1146
21,"(8400.084, 8800.088]",1743
22,"(8800.088, 9200.092]",1894
23,"(9200.092, 9600.096]",1130
24,"(9600.096, 10000.1]",2278
25,"(10000.1, 10400.104]",587
26,"(10400.104, 10800.108]",917
27,"(10800.108, 11200.112]",1145
28,"(11200.112, 11600.116]",607
29,"(11600.116, 12000.12]",1272
30,"(12000.12, 12400.124]",538
31,"(12400.124, 12800.128]",801
32,"(12800.128, 13200.132]",1074
33,"(13200.132, 13600.136]",499
34,"(13600.136, 14000.14]",1004
35,"(14000.14, 14400.144]",435
36,"(14400.144, 14800.148]",665
37,"(14800.148, 15200.152]",824
38,"(15200.152, 15600.156]",419
39,"(15600.156, 16000.16]",756
40,"(16000.16, 16400.164]",317
41,"(16400.164, 16800.168]",575
42,"(16800.168, 17200.172]",514
43,"(17200.172, 17600.176]",339
44,"(17600.176, 18000.18]",539
45,"(18000.18, 18400.184]",200
46,"(18400.184, 18800.188]",406
47,"(18800.188, 19200.192]",405
48,"(19200.192, 19600.196]",255
49,"(19600.196, 20000.2]",801
50,"(20000.2, 20400.204]",143
51,"(20400.204, 20800.208]",177
52,"(20800.208, 21200.212]",296
53,"(21200.212, 21600.216]",172
54,"(21600.216, 22000.22]",449
55,"(22000.22, 22400.224]",111
56,"(22400.224, 22800.228]",232
57,"(22800.228, 23200.232]",254
58,"(23200.232, 23600.236]",116
59,"(23600.236, 24000.24]",339
60,"(24000.24, 24400.244]",116
61,"(24400.244, 24800.248]",253
62,"(24800.248, 25200.252]",207
63,"(25200.252, 25600.256]",126
64,"(25600.256, 26000.26]",261
65,"(26000.26, 26400.264]",111
66,"(26400.264, 26800.268]",151
67,"(26800.268, 27200.272]",197
68,"(27200.272, 27600.276]",137
69,"(27600.276, 28000.28]",203
70,"(28000.28, 28400.284]",69
71,"(28400.284, 28800.288]",154
72,"(28800.288, 29200.292]",141
73,"(29200.292, 29600.296]",85
74,"(29600.296, 30000.3]",426
75,"(30000.3, 30400.304]",43
76,"(30400.304, 30800.308]",92
77,"(30800.308, 31200.312]",105
78,"(31200.312, 31600.316]",71
79,"(31600.316, 32000.32]",158
80,"(32000.32, 32400.324]",68
81,"(32400.324, 32800.328]",171
82,"(32800.328, 33200.332]",118
83,"(33200.332, 33600.336]",71
84,"(33600.336, 34000.34]",146
85,"(34000.34, 34400.344]",52
86,"(34400.344, 34800.348]",130
87,"(34800.348, 35200.352]",143
88,"(35200.352, 35600.356]",62
89,"(35600.356, 36000.36]",131
90,"(36000.36, 36400.364]",71
91,"(36400.364, 36800.368]",79
92,"(36800.368, 37200.372]",83
93,"(37200.372, 37600.376]",56
94,"(37600.376, 38000.38]",109
95,"(38000.38, 38400.384]",47
96,"(38400.384, 38800.388]",86
97,"(38800.388, 39200.392]",103
98,"(39200.392, 39600.396]",79
99,"(39600.396, 40000.4]",245
100,"(40000.4, 40400.404]",25
101,"(40400.404, 40800.408]",56
102,"(40800.408, 41200.412]",42
103,"(41200.412, 41600.416]",36
104,"(41600.416, 42000.42]",85
105,"(42000.42, 42400.424]",36
106,"(42400.424, 42800.428]",71
107,"(42800.428, 43200.432]",59
108,"(43200.432, 43600.436]",39
109,"(43600.436, 44000.44]",90
110,"(44000.44, 44400.444]",29
111,"(44400.444, 44800.448]",78
112,"(44800.448, 45200.452]",62
113,"(45200.452, 45600.456]",44
114,"(45600.456, 46000.46]",56
115,"(46000.46, 46400.464]",21
116,"(46400.464, 46800.468]",55
117,"(46800.468, 47200.472]",44
118,"(47200.472, 47600.476]",34
119,"(47600.476, 48000.48]",80
120,"(48000.48, 48400.484]",27
121,"(48400.484, 48800.488]",48
122,"(48800.488, 49200.492]",40
123,"(49200.492, 49600.496]",46
124,"(49600.496, 50000.5]",148
125,"(50000.5, 50400.504]",20
126,"(50400.504, 50800.508]",24
